iter	Logloss
0	0.6680920323
1	0.6461800661
2	0.6266168319
3	0.6070472702
4	0.5878868249
5	0.5732971527
6	0.5585689499
7	0.5452753153
8	0.5353045662
9	0.5239035711
10	0.5116815671
11	0.5025267333
12	0.4940105387
13	0.486549988
14	0.4786744625
15	0.4723317898
16	0.4663507893
17	0.4603274691
18	0.4554376394
19	0.4506607328
20	0.4465420427
21	0.4414190014
22	0.436540987
23	0.4334169353
24	0.4272337872
25	0.4224511866
26	0.4192898056
27	0.4163420702
28	0.41331136
29	0.4095319282
30	0.4061860572
31	0.402777255
32	0.4004896811
33	0.3977304364
34	0.3958385378
35	0.3939678133
36	0.3918216256
37	0.3886242205
38	0.3867975379
39	0.3831625489
40	0.3809197711
41	0.3793017396
42	0.3761153098
43	0.3746397217
44	0.37319698
45	0.3708634538
46	0.3687905803
47	0.3675710412
48	0.3661615279
49	0.3641985893
50	0.3625814277
51	0.3610340526
52	0.3598232141
53	0.3583030726
54	0.3559242466
55	0.3549732927
56	0.3533578843
57	0.3523503577
58	0.3516476555
59	0.350727173
60	0.3493552789
61	0.3483130679
62	0.3470639918
63	0.3462372345
64	0.3449716543
65	0.3444400805
66	0.3435057874
67	0.3425747845
68	0.3420126464
69	0.3411554977
70	0.3406203243
71	0.3395234904
72	0.3383293463
73	0.3372415744
74	0.3360516637
75	0.3344683355
76	0.3323128916
77	0.3297305769
78	0.3286010729
79	0.3282484893
80	0.3271161632
81	0.3261848361
82	0.3257373253
83	0.325111811
84	0.3244790588
85	0.323877313
86	0.323291621
87	0.3223559446
88	0.321404243
89	0.3204897834
90	0.3193438193
91	0.3182245074
92	0.317630201
93	0.3166905438
94	0.3157559431
95	0.3145589484
96	0.3138929425
97	0.3132578838
98	0.3128449636
99	0.3120488218
100	0.3115150422
101	0.3110983553
102	0.310114034
103	0.3092073512
104	0.3081557882
105	0.3077824589
106	0.3069170919
107	0.3055832772
108	0.3050626308
109	0.3037099265
110	0.3025736148
111	0.3020784053
112	0.300796624
113	0.3002878969
114	0.2995708537
115	0.2988704144
116	0.2983198707
117	0.2979246456
118	0.2970713547
119	0.2962085534
120	0.2957033355
121	0.2952031743
122	0.2946480312
123	0.2941026171
124	0.2935255587
125	0.2929207387
126	0.2921706276
127	0.2915087301
128	0.2911368611
129	0.2904729696
130	0.2894045066
131	0.2890201142
132	0.2885964956
133	0.288311021
134	0.2864279147
135	0.2852086701
136	0.2844701315
137	0.2837757675
138	0.2834765795
139	0.2828323237
140	0.2821030522
141	0.2816600328
142	0.2814514832
143	0.2811772341
144	0.2807281486
145	0.2801585688
146	0.2798575544
147	0.2790413804
148	0.2787475676
149	0.2773869331
150	0.2764753496
151	0.2755325582
152	0.2749832873
153	0.2746365874
154	0.2739588248
155	0.2734752736
156	0.2726830521
157	0.271935321
158	0.2712293682
159	0.2705081299
160	0.2699327717
161	0.2691967126
162	0.2686397054
163	0.2683354053
164	0.2681129412
165	0.2676990646
166	0.2673637224
167	0.2662142012
168	0.2658590267
169	0.2655130769
170	0.2647254707
171	0.2642430043
172	0.2636904715
173	0.263427929
174	0.2629937185
175	0.2628411363
176	0.2620699521
177	0.261793834
178	0.2616181477
179	0.2611132944
180	0.259522269
181	0.2591921217
182	0.2588240125
183	0.2585297705
184	0.2583479445
185	0.2577643115
186	0.2572723745
187	0.2566662769
188	0.2562469898
189	0.2556134014
190	0.2553029966
191	0.2543559455
192	0.2539706363
193	0.2537381716
194	0.2535083672
195	0.2527181973
196	0.2525196473
197	0.2522919713
198	0.2515123408
199	0.2509941865
200	0.250520147
201	0.2499894293
